1;Веб-приложение
2;WebAssembly
3;Rust
4;JavaScript
5;TypeScript
6;Браузер
7;Firefox
8;Google Chrome
9;HTML
10;SPA
11;SSR
12;CSR
13;Веб-клиент
14;Веб-сервер
15;Angular
16;React
17;Vue
18;Svelte
19;DOM
20;vDOM
21;API
22;FCP
23;LCP
24;FID
25;INP
26;TTI
27;TBT
28;CLS
29;TTFB
30;Lighthouse
31;Yew
32;Sycamore
---
3->2;компилируется в
2->1;используется для
1->6;выполняется в
4->1;используется для
5->1;используется для
5->4;компилируется в
6->4;выполняет
7->6;есть
8->6;есть
9->1;используется для
9->6;используется в
10->1;есть
11->1;используется для
12->1;используется для
6->13;есть
11->14;использует
15->10;используется для
16->10;используется для
17->10;используется для
18->10;используется для
6->19;использует
20->4;использует
20->19;есть
15->20;использует
16->20;использует
17->20;использует
13->21;использует
14->21;предоставляет
30->13;оценивает
22->13;оценивает
23->13;оценивает
24->13;оценивает
25->13;оценивает
26->13;оценивает
27->13;оценивает
28->13;оценивает
29->13;оценивает
29->14;оценивает
31->10;используется для
31->3;использует
31->20;использует
32->10;используется для
32->3;использует

